pub_id,name,business_description,first_timestamp,parent_dataset,keywords,frequency,basis_document,comments
Профиль региона/48,Профиль региона. СЗГУ. Отделение Архангельск,"Ежемесячный аналитический обзор социально-экономического положения Архангельской области, включающий динамику годовой инфляции, структуру валового регионального продукта и темпы роста промышленного производства. Публикация содержит данные о рынке труда, уровне безработицы, доходах населения и темпах роста кредитования физических лиц и нефинансовых организаций. В обзоре представлены оперативные индикаторы экономики: ценовые ожидания бизнеса, цены на первичном и вторичном рынках жилья, индекс потребительской активности и доля безналичных платежей. Показатели приводятся в разрезе отраслей экономики с сопоставлением региональных данных и общероссийских значений.",Первое формирование публикации в рамках текущего формата не определено на основе предоставленных данных.,arkhangelsk/ekonom_profil,Архангельская область; инфляция; ВРП; кредитование; безработица; промышленное производство; инвестиции; розничная торговля; ценовые ожидания; рынок жилья; деловая активность; экономический мониторинг; Северо-Западный ФО; доходы населения; безналичные платежи,ежемесячная,не указан,"Данные основаны на отчетности Росстата, Банка России и других источников; оперативные индикаторы могут иметь разную дату актуальности (февраль-апрель 2026 г.)."
Профиль региона/49,Профиль региона. СЗГУ. Отделение Вологда,"Аналитический обзор социально-экономического положения Вологодской области, включающий данные о демографии, инфляции, структуре валового регионального продукта и деловой активности. Публикация содержит статистику по рынку труда, динамике кредитования организаций и физических лиц, а также оперативные индикаторы экономики региона. Представлены показатели ценовых ожиданий, стоимости жилья на первичном и вторичном рынках, индекса потребительской активности и структуры кредитного портфеля. Данные охватывают период с 2022 по 2026 год с актуализацией на март-апрель 2026 года.",Момент первого формирования публикации не определён на основе предоставленных данных.,Профиль региона. СЗГУ. Отделение Вологда,Вологодская область; инфляция; ВРП; промышленное производство; занятость; безработица; кредитование; инвестиции; розничная торговля; цены на жилье; экономический профиль; деловая активность; оперативные индикаторы,разовая,не указан,"Публикация представляет собой аналитический обзор в формате PDF, содержащий графическое отображение трендов и сводные показатели на конкретную дату (март-апрель 2026 г.), а не регулярный статистический реестр."
Профиль региона/50,Профиль региона. СЗГУ. Отделение Калининград,"Ежемесячный аналитический обзор социально-экономического положения Калининградской области, включающий сравнительный анализ с общероссийскими показателями. Публикация содержит данные по инфляции, структуре валового регионального продукта, динамике промышленного производства и инвестиций. Отдельно представлены показатели рынка труда, розничной торговли, платных услуг населению и состояние кредитования физических и юридических лиц. В материале также отражены оперативные индикаторы: ценовые ожидания бизнеса, цены на жилье и индекс потребительской активности.",Первое формирование публикации не определено на основе предоставленных данных.,Отделение Калининград,Калининградская область; инфляция; ВРП; промышленное производство; инвестиции; занятость; безработица; кредитование; розничная торговля; ценовые ожидания; рынок жилья; кредитный портфель; деловая активность; экономический профиль; региональная статистика,ежемесячная,не указан,"Данные представлены в виде графиков, диаграмм и сводных индикаторов с указанием источников (Росстат, Банк России). Включает оперативные данные на март-апрель 2026 года и исторические ряды за 2022–2026 гг."
Профиль региона/53,Профиль региона. СЗГУ. Отделение Псков,"Аналитический обзор состояния экономики Псковской области, включающий данные о демографии, инфляции, структуре ВРП и динамике промышленного производства. Публикация содержит показатели по инвестициям, занятости, розничной торговле, платным услугам и кредитованию организаций и физических лиц. Представлен сравнительный анализ региональных индикаторов с общероссийскими значениями за период 2022–2026 годов. Включены оперативные данные по ценовым ожиданиям бизнеса, ценам на жилье и индексу потребительской активности.",Первое формирование публикации не определено на основе предоставленных данных.,pskov,Псковская область; инфляция; ВРП; промышленное производство; инвестиции; безработица; кредитование; розничная торговля; зарплата; ценовые ожидания; рынок жилья; сельское хозяйство; обрабатывающие производства; экономический мониторинг; региональная экономика,ежемесячная,не указан,не указан
Профиль региона/52,Профиль региона. СЗГУ. Отделение Новгород,"Сводный аналитический отчет по экономике Новгородской области, включающий динамику инфляции, валового регионального продукта, промышленного и сельскохозяйственного производства. Публикация содержит данные об инвестициях в основной капитал, обороте розничной торговли, уровне занятости и безработицы, а также темпах прироста кредитования нефинансовых организаций и физических лиц. Охватываются оперативные индикаторы: ценовые ожидания бизнеса, цены на жилье, индекс потребительской активности и структура кредитных портфелей. Предоставляется сравнительный анализ региональных показателей с общероссийскими данными за период 2023–2026 годов.",Первый доступный отчет в наборе данных сформирован на апрель 2026 года.,Отделения Банка России,Новгородская область; инфляция; ВРП; промышленное производство; сельское хозяйство; инвестиции; розничная торговля; занятость; безработица; кредитование; ценовые ожидания; рынок жилья; потребительская активность; экономический мониторинг; региональная экономика,ежемесячная,не указан,не указан
Профиль региона/51,Профиль региона. СЗГУ. Отделение Мурманск,"Сводный аналитический обзор социально-экономического положения Мурманской области, включающий динамику макроэкономических показателей, инфляции и структуры валового регионального продукта. Публикация содержит данные о деловой активности, занятости населения, уровне безработицы и темпах прироста кредитования организаций и физических лиц. Представлены сравнительные показатели с общероссийскими значениями, а также оперативные индикаторы экономики региона, такие как ценовые ожидания бизнеса и цены на жилье. Данные детализированы по отраслям экономики и группам товаров, охватывая период с 2022 по 2026 год.",Первое формирование публикации не определено на основе предоставленных данных.,Профиль региона. СЗГУ. Отделение Мурманск,Мурманская область; ВРП; инфляция; кредитование; промышленное производство; занятость; инвестиции; розничная торговля; безработица; ценовые ожидания; рынок жилья; оперативные индикаторы; структура экономики; Северо-Западный ФО; Арктика,не определена,не указан,"Данные актуализированы на март-апрель 2026 года; публикация представляет собой аналитический обзор в формате PDF, а не структурированный набор данных для автоматической загрузки."
Профиль региона/54,Профиль региона. СЗГУ. Отделение-НБ Республика Карелия,"Аналитический обзор социально-экономического положения Республики Карелия, включающий динамику инфляции, структуру валового регионального продукта и показатели деловой активности. Публикация содержит данные о рынке труда, уровне безработицы, реальной зарплате, а также статистику по кредитованию организаций и физических лиц. Представлен сравнительный анализ региональных показателей с общероссийскими данными за период 2022–2026 годов. Включены оперативные индикаторы: ценовые ожидания бизнеса, цены на жилье и индекс потребительской активности.",Первое формирование публикации не определено на основе предоставленных данных.,karelia,Республика Карелия; ВРП; инфляция; промышленное производство; инвестиции; безработица; кредитование; розничная торговля; реальная зарплата; ценовые ожидания; рынок жилья; сельское хозяйство; обрабатывающие производства; экономический профиль; Северо-Западный ФО,не определена,не указан,Данные актуализированы на март-апрель 2026 года; включает сравнительный анализ с общероссийскими показателями.
Профиль региона/55,Профиль региона. СЗГУ. Отделение-НБ Республика Коми,"Аналитический обзор социально-экономического положения Республики Коми, включающий данные о демографии, структуре валового регионального продукта и инфляции. Публикация содержит показатели деловой активности, динамику производства, инвестиций, рынка труда и кредитования. Представлен сравнительный анализ региональных индикаторов с общероссийскими значениями за период 2022–2026 годов. Включены оперативные данные по ценовым ожиданиям, ценам на жилье и структуре кредитных портфелей.",Первое формирование публикации в представленном наборе данных относится к апрелю 2026 года.,Профиль региона. СЗГУ. Отделение-НБ Республика Коми,Республика Коми; инфляция; ВРП; промышленное производство; занятость; кредитование; инвестиции; рынок труда; розничная торговля; ценовые ожидания; безработица; деловая активность; экономический профиль; региональная статистика; оперативные индикаторы,ежемесячная,не указан,не указан
Профиль региона/57,Профиль региона. СГУ. Отделение Барнаул,"Аналитический обзор социально-экономического положения Алтайского края, включающий данные за 2025 год и оперативные показатели на март-апрель 2026 года. Публикация содержит динамику годовой инфляции, валового регионального продукта, промышленного и сельскохозяйственного производства, а также показатели занятости и реальных доходов населения. Представлены данные о структуре и темпах роста кредитования нефинансовых организаций и физических лиц, индексы ценовых ожиданий бизнеса и потребительской активности. Материалы включают сравнительный анализ региональных показателей с общероссийскими трендами и структуру кредитного портфеля по отраслям.",Первое формирование публикации не определено на основе предоставленных данных.,Отделение Барнаул,Алтайский край; инфляция; ВРП; промышленное производство; сельское хозяйство; кредитование; безработица; зарплата; инвестиции; розничная торговля; ценовые ожидания; рынок жилья; кредитный портфель; экономический профиль; Сибирский федеральный округ,не определена,не указан,"Публикация представляет собой аналитический обзор в формате PDF, содержащий как исторические данные за 2022–2025 гг., так и оперативные показатели на март-апрель 2026 года. Данные представлены в разрезе региона и в сравнении с общероссийскими показателями."
Профиль региона/58,Профиль региона. СГУ. Отделение Иркутск,"Ежемесячный аналитический обзор экономического состояния Иркутской области, включающий данные о демографии, структуре валового регионального продукта и динамике инфляции. Публикация содержит показатели деловой активности, занятости населения, уровня безработицы и темпов роста кредитования организаций и физических лиц. Представлены оперативные индикаторы: ценовые ожидания бизнеса, цены на жилье, индекс потребительской активности и доля безналичных платежей. Региональные данные сопоставляются с общероссийскими показателями за период 2023–2026 годов.",Первое формирование публикации в текущем цикле относится к апрелю 2026 года.,irkutsk,Иркутская область; ВРП; инфляция; промышленное производство; инвестиции; розничная торговля; занятость; безработица; кредитование; ценовые ожидания; рынок жилья; безналичные платежи; структура экономики; деловая активность; оперативные индикаторы,ежемесячная,не указан,"Данные представлены в виде аналитического обзора с визуализацией (графики, списки); часть оперативных индикаторов имеет разную дату актуальности (февраль-апрель 2026 г.)."
Профиль региона/56,Профиль региона. . Сибирское главное управление (г. Новосибирск),"Аналитический обзор социально-экономического положения Новосибирской области, включающий данные по инфляции, валовому региональному продукту и промышленному производству. Публикация содержит показатели рынка труда, динамику кредитования организаций и физических лиц, а также структуру кредитного портфеля по отраслям. Представлен сравнительный анализ региональных показателей с общероссийскими значениями и оперативные индикаторы экономики, такие как ценовые ожидания и индекс потребительской активности. Данные актуализированы на март-апрель 2026 года и охватывают период с 2022 по 2026 год.","Первое формирование публикации не указано в доступных данных, актуализация произведена на март-апрель 2026 года.",Сибирское главное управление (г. Новосибирск),Новосибирская область; инфляция; ВРП; промышленное производство; кредитование; рынок труда; безработица; инвестиции; розничная торговля; ценовые ожидания; кредитный портфель; экономический профиль; Сибирский федеральный округ; оперативные индикаторы; структура экономики,разовая,не указан,"Данные представлены в формате аналитического обзора (PDF), содержащего как статистические показатели, так и текстовые комментарии; актуальность данных ограничена мартом-апрелем 2026 года."
Профиль региона/59,Профиль региона. СГУ. Отделение Кемерово,"Аналитический обзор социально-экономического положения Кемеровской области (Кузбасс) с разбивкой по ключевым секторам: инфляция, валовой региональный продукт, промышленное производство, инвестиции и рынок труда. Публикация включает динамику темпов роста кредитования нефинансовых организаций и физических лиц, а также оперативные индикаторы, такие как ценовые ожидания бизнеса, цены на жилье и индекс потребительской активности. Данные представлены в сравнении с общероссийскими показателями за период с 2022 по 2026 год с актуализацией на март-апрель 2026 года.",Первое формирование публикации в текущем цикле датировано апрелем 2026 года.,Отделение Кемерово,Кемеровская область; Кузбасс; инфляция; ВРП; промышленное производство; инвестиции; рынок труда; кредитование; безработица; ценовые ожидания; рынок жилья; потребительская активность; экономический профиль; региональная статистика; СГУ,ежемесячная,не указан,не указан
Профиль региона/6,Профиль региона. ГУ по ЦФО. Отделение Воронеж,"Ежемесячный аналитический обзор социально-экономического положения Воронежской области, включающий данные о демографии, инфляции, структуре валового регионального продукта и динамике промышленного производства. Публикация содержит показатели по инвестициям в основной капитал, рынку труда, уровню безработицы и темпам роста кредитования организаций и физических лиц. Предоставляется сравнительный анализ региональных индикаторов с общероссийскими данными за период 2022–2026 годов, а также оперативные сведения о ценовых ожиданиях бизнеса и состоянии рынка жилья.",Первый доступный выпуск публикации сформирован в апреле 2026 года.,Профиль региона. ГУ по ЦФО. Отделение Воронеж,Воронежская область; инфляция; ВРП; промышленное производство; инвестиции; рынок труда; кредитование; безработица; розничная торговля; ценовые ожидания; реальная зарплата; сельское хозяйство; обрабатывающие производства; кредитный портфель; экономический профиль,ежемесячная,не указан,не указан
Профиль региона/61,Профиль региона. СГУ. Отделение Омск,"Аналитический обзор социально-экономического положения Омской области, включающий динамику инфляции, структуру валового регионального продукта и темпы роста промышленного производства. Материал содержит данные о рынке труда, доходах населения, розничной торговле и состоянии кредитования нефинансовых организаций и физических лиц. Представлен сравнительный анализ региональных показателей с общероссийскими значениями и оперативные индикаторы экономики на апрель 2026 года. Включает детализацию по отраслям экономики, ценам на жилье и индексу потребительской активности.",Первое формирование публикации не определено на основе предоставленных данных.,Отделение Омск,Омская область; инфляция; ВРП; промышленное производство; сельское хозяйство; рынок труда; кредитование; безработица; инвестиции; розничная торговля; цены на жилье; деловая активность; экономический обзор; Сибирский федеральный округ,не определена,не указан,не указан
Профиль региона/62,Профиль региона. СГУ. Отделение Томск,"Ежемесячный аналитический обзор социально-экономического положения Томской области, включающий данные о демографии, структуре валового регионального продукта и инфляции. Публикация содержит показатели деловой активности, динамику промышленного производства, инвестиций, а также сведения о рынке труда, доходах населения и розничной торговле. Представлены оперативные индикаторы по ценам на жилье, потребительской активности и структуре кредитования нефинансовых организаций и физических лиц. Все данные приводятся в сравнении с общероссийскими показателями за период 2022–2026 годов.",Первое формирование публикации не определено на основе предоставленных данных.,http://cbr.ru/tomsk/ekonom_profil/,Томская область; инфляция; ВРП; промышленное производство; инвестиции; безработица; кредитование; рынок труда; розничная торговля; цены на жилье; потребительская активность; экономический мониторинг; региональная статистика; деловая активность; структура экономики,ежемесячная,не указан,не указан
Профиль региона/60,Профиль региона. СГУ. Отделение Красноярск,"Аналитический обзор социально-экономического положения Красноярского края, включающий динамику годовой инфляции, структуру валового регионального продукта и темпы роста промышленного производства. Публикация содержит данные по инвестициям в основной капитал, рынку труда, уровню безработицы и динамике реальных заработных плат населения. Представлены показатели кредитования организаций и физических лиц с детализацией структуры кредитного портфеля по отраслям экономики. Включены оперативные индикаторы деловой активности, ценовые ожидания бизнеса, цены на жилье и доля безналичных платежей в торговом обороте.",Первое формирование публикации в текущем цикле датировано апрелем 2026 года.,http://cbr.ru/krsk/ekonom_profil/,Красноярский край; инфляция; ВРП; промышленное производство; инвестиции; безработица; кредитование; розничная торговля; реальная зарплата; ценовые ожидания; рынок жилья; кредитный портфель; экономический профиль; деловая активность; Сибирский федеральный округ,ежемесячная,не указан,Данные представлены в сравнении с общероссийскими показателями за период 2023–2026 годов; оперативные индикаторы могут иметь разную дату актуальности (февраль-апрель 2026 г.) в зависимости от типа показателя.
Профиль региона/64,Профиль региона. СГУ. Отделение-НБ Республика Алтай,"Аналитический обзор социально-экономического положения Республики Алтай, включающий данные по инфляции, структуре валового регионального продукта и деловой активности. Публикация содержит показатели рынка труда, динамику кредитования нефинансовых организаций и физических лиц, а также оперативные индикаторы, такие как ценовые ожидания бизнеса и цены на жилье. Представлены сравнительные данные региона и Российской Федерации за период с 2022 по 2026 год в виде текстовых описаний, таблиц и графиков.",Первое формирование публикации в текущем цикле датировано апрелем 2026 года.,altai,Республика Алтай; инфляция; ВРП; кредитование; безработица; промышленное производство; инвестиции; рынок труда; ценовые ожидания; розничная торговля; сельское хозяйство; туризм; экономический профиль; Сибирский федеральный округ; оперативные индикаторы,ежемесячная,не указан,"Данные представлены в виде аналитического обзора (PDF), содержащего как агрегированные показатели, так и оперативные индикаторы с разной датой актуальности (февраль-апрель 2026 года)."
Профиль региона/63,Профиль региона. СГУ. Отделение Чита,"Аналитический обзор социально-экономического положения Забайкальского края, включающий оценку годовой инфляции, структуры валового регионального продукта и динамики деловой активности. Публикация содержит данные о рынке труда, уровне безработицы, реальной заработной плате, а также показатели кредитования нефинансовых организаций и физических лиц. В материале представлены оперативные индикаторы: ценовые ожидания бизнеса, цены на жилье, индекс потребительской активности и доля безналичных платежей. Все показатели приводятся в сравнении с общероссийскими значениями за период с 2022 по 2026 год.",Первое формирование публикации не определено на основе предоставленных данных.,http://cbr.ru/chita/ekonom_profil/,Забайкальский край; инфляция; ВРП; промышленное производство; инвестиции; рынок труда; безработица; кредитование; ценовые ожидания; рынок жилья; деловая активность; розничная торговля; реальная зарплата; структура экономики; Дальневосточный федеральный округ,ежемесячная,не указан,"Данные основаны на информации Росстата, Банка России и других источников; актуальность на март-апрель 2026 года; некоторые оперативные индикаторы (цены на жилье, доля безналичных платежей) имеют дату на февраль 2026 года."
Профиль региона/68,Профиль региона. . Южное главное управление (г. Краснодар),"Аналитический обзор социально-экономического положения Краснодарского края, включающий данные о демографии, вкладе региона в общероссийские показатели и динамике инфляции. Публикация содержит детализацию структуры валового регионального продукта по отраслям, показатели деловой активности, занятости и доходов населения. Представлена статистика по кредитованию нефинансовых организаций и физических лиц, а также оперативные индикаторы экономики, включая ценовые ожидания и состояние рынка жилья.",Первое формирование публикации не определено на основе имеющихся данных.,krasnodar,Краснодарский край; ВРП; инфляция; инвестиции; занятость; кредитование; сельское хозяйство; розничная торговля; безработица; ценовые ожидания; рынок жилья; деловая активность; Южное ГУ Банка России,не определена,не указан,Данные представлены в формате аналитического обзора с текстовыми блоками и графиками; актуальность информации на апрель 2026 года.
Профиль региона/67,Профиль региона. СГУ. Отделение-НБ Республика Хакасия,"Аналитический обзор социально-экономического положения Республики Хакасия, включающий данные о географических характеристиках, доле региона в общероссийских показателях и динамике инфляции. Публикация содержит информацию о структуре валового регионального продукта, деловой активности, доходах населения, уровне безработицы и темпах кредитования. Представлены оперативные индикаторы экономики, включая ценовые ожидания, цены на жилье и индекс потребительской активности, актуальные на апрель 2026 года.",Первое формирование публикации не определено на основе предоставленных данных.,Отделения Банка России,Республика Хакасия; ВРП; инфляция; кредитование; безработица; инвестиции; промышленное производство; зарплата; розничная торговля; ценовые ожидания; рынок жилья; деловая активность; структура экономики; оперативные индикаторы; Сибирский федеральный округ,разовая,не указан,"Данные представлены в виде текстовых описаний, диаграмм и списков с числовыми значениями в формате PDF; актуальность данных на апрель 2026 года."
Профиль региона/65,Профиль региона. СГУ. Отделение-НБ Республика Бурятия,"Ежемесячный аналитический обзор социально-экономического положения Республики Бурятия, включающий динамику инфляции, структуру валового регионального продукта и показатели промышленного производства. Публикация содержит данные о рынке труда, уровне безработицы, динамике реальных зарплат и темпах роста кредитования организаций и физических лиц. Отдельно представлены оперативные индикаторы: ценовые ожидания бизнеса, цены на жилье и индекс потребительской активности. Материалы охватывают период с 2022 года по апрель 2026 года с разбивкой по отраслям экономики и сравнением с общероссийскими показателями.","Первое формирование публикации не определено на основе предоставленных данных, текущий выпуск подготовлен в апреле 2026 года.",Отделение-НБ Республика Бурятия,Республика Бурятия; инфляция; ВРП; промышленное производство; кредитование; рынок труда; инвестиции; сельское хозяйство; розничная торговля; ценовые ожидания; безработица; Дальневосточный федеральный округ; экономика региона; оперативные индикаторы; структура кредитного портфеля,ежемесячная,не указан,не указан
Профиль региона/69,Профиль региона. ЮГУ. Отделение Астрахань,"Аналитический обзор социально-экономического положения Астраханской области, включающий данные о демографии, структуре валового регионального продукта и инфляции. Публикация содержит показатели деловой активности, рынка труда, динамики кредитования организаций и физических лиц, а также оперативные индикаторы ценовых ожиданий и состояния рынка жилья. Информация представлена в разрезе отраслей экономики с возможностью сравнения региональных значений с общероссийскими показателями за период 2022–2026 годов.",Первое формирование публикации не определено на основе доступных данных.,Отделение Астрахань,Астраханская область; ВРП; инфляция; кредитование; безработица; инвестиции; сельское хозяйство; добывающая промышленность; розничная торговля; ценовые ожидания; рынок жилья; деловая активность; оперативные индикаторы; структура экономики; Южный федеральный округ,не определена,не указан,"Публикация представляет собой аналитический PDF-отчет, а не структурированный набор данных; содержит оперативные данные на март-апрель 2026 года и исторические данные за 2022–2025 годы."
